Date;SOB 31;MEX 31;;;
19/06/2020;4.36;6.13;;;
26/06/2020;4.42;6.15;;;
3/07/2020;4.48;5.98;;;
10/07/2020;4.35;5.87;;;
17/07/2020;4.22;6.02;;;
24/07/2020;4.08;5.98;;;
31/07/2020;3.93;5.95;;;
7/08/2020;4.17;5.95;;;
14/08/2020;4.06;5.91;;;
21/08/2020;4.11;5.98;;;
28/08/2020;4.05;6.07;;;
4/09/2020;4.16;6.01;;;
11/09/2020;4.21;5.94;;;
18/09/2020;4.17;5.89;;;
25/09/2020;4.24;5.94;;;
2/10/2020;4.32;6.15;;;
9/10/2020;4.12;6.08;;;
16/10/2020;4.15;6.13;;;
23/10/2020;4.22;6.19;;;
30/10/2020;4.21;6.28;;;
6/11/2020;3.92;6.04;;;
13/11/2020;4.21;6.05;;;
20/11/2020;4.03;5.91;;;
27/11/2020;3.90;5.83;;;
4/12/2020;3.86;5.68;;;
11/12/2020;3.66;5.71;;;
18/12/2020;3.51;5.52;;;
25/12/2020;3.49;5.49;;;
1/01/2021;3.51;5.53;;;
8/01/2021;3.65;5.61;;;
15/01/2021;3.62;5.57;;;
22/01/2021;3.72;5.60;;;
29/01/2021;3.66;5.59;;;
5/02/2021;3.77;5.57;;;
12/02/2021;3.77;5.57;;;
19/02/2021;4.11;6.06;;;
26/02/2021;4.24;6.23;;;
5/03/2021;4.74;6.28;;;
12/03/2021;4.70;6.37;;;
19/03/2021;4.60;6.69;;;
26/03/2021;4.72;6.77;;;
2/04/2021;4.95;6.84;;;
9/04/2021;4.80;6.55;;;
16/04/2021;4.88;6.55;;;
23/04/2021;5.41;6.72;;;
30/04/2021;5.38;6.89;;;
7/05/2021;5.10;6.71;;;
14/05/2021;4.80;6.85;;;
21/05/2021;4.86;6.84;;;
28/05/2021;4.82;6.64;;;
4/06/2021;4.63;6.62;;;
11/06/2021;5.15;6.65;;;
18/06/2021;5.58;6.80;;;
25/06/2021;5.61;6.97;;;
2/07/2021;5.48;7.03;;;
9/07/2021;5.85;6.81;;;
16/07/2021;5.61;6.92;;;
23/07/2021;5.47;7.00;;;
30/07/2021;6.18;6.88;;;
6/08/2021;6.29;7.03;;;
13/08/2021;6.38;6.95;;;
20/08/2021;6.81;7.02;;;
27/08/2021;6.07;6.98;;;
3/09/2021;6.27;6.98;;;
10/09/2021;6.44;6.95;;;
17/09/2021;6.38;7.04;;;
24/09/2021;6.29;7.19;;;
1/10/2021;6.39;7.39;;;
8/10/2021;5.91;7.49;;;
15/10/2021;5.83;7.44;;;
22/10/2021;5.90;7.58;;;
29/10/2021;5.83;7.49;;;
5/11/2021;5.79;7.30;;;
12/11/2021;5.85;7.36;;;
19/11/2021;5.87;7.46;;;
26/11/2021;5.91;7.68;;;
3/12/2021;5.98;7.39;;;
10/12/2021;5.90;7.34;;;
17/12/2021;5.92;7.34;;;
24/12/2021;5.93;7.54;;;
31/12/2021;5.90;7.56;;;
7/01/2022;6.05;7.78;;;
14/01/2022;6.11;7.68;;;
21/01/2022;6.13;7.65;;;
28/01/2022;6.11;7.68;;;
4/02/2022;6.10;7.62;;;
11/02/2022;6.07;7.78;;;
18/02/2022;6.01;7.78;;;
25/02/2022;6.06;7.88;;;
4/03/2022;6.45;8.07;;;
11/03/2022;6.68;8.49;;;
18/03/2022;6.56;8.33;;;
25/03/2022;6.90;8.57;;;
1/04/2022;6.75;8.31;;;
8/04/2022;6.98;8.70;;;
15/04/2022;7.30;8.83;;;
22/04/2022;7.74;8.82;;;
29/04/2022;7.85;9.09;;;
6/05/2022;8.30;9.15;;;
13/05/2022;7.92;8.82;;;
20/05/2022;7.80;8.67;;;
27/05/2022;7.39;8.52;;;
3/06/2022;7.64;8.77;;;
10/06/2022;7.81;8.99;;;
17/06/2022;7.95;9.18;;;
24/06/2022;7.73;9.00;;;
1/07/2022;7.75;8.92;;;
8/07/2022;7.98;9.00;;;
15/07/2022;8.35;9.03;;;
22/07/2022;8.26;8.91;;;
29/07/2022;8.16;8.56;;;
5/08/2022;7.88;8.45;;;
12/08/2022;7.68;8.50;;;
19/08/2022;7.76;8.85;;;
26/08/2022;7.86;8.89;;;
2/09/2022;7.99;9.00;;;
9/09/2022;8.05;8.93;;;
16/09/2022;8.03;9.15;;;
23/09/2022;8.23;9.44;;;
30/09/2022;8.66;9.65;;;
7/10/2022;8.52;9.66;;;
14/10/2022;8.69;9.84;;;
21/10/2022;8.56;9.91;;;
28/10/2022;8.37;9.73;;;
4/11/2022;8.12;9.81;;;
11/11/2022;7.44;9.19;;;
18/11/2022;7.89;9.23;;;
25/11/2022;7.66;9.11;;;
2/12/2022;7.43;8.92;;;
9/12/2022;7.56;8.94;;;
16/12/2022;7.75;8.75;;;
23/12/2022;7.88;8.87;;;
30/12/2022;7.88;9.02;;;
6/01/2023;7.77;8.56;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
